"Klarna Invoice","Achteraf betalen"
"Klarna Account","Klarna Account"
"Klarna Campaign","Klarna Campagne"
"Enabled","Geactiveerd"
"Merchant ID","Webwinkel-ID"
"The merchant id that you have received from Klarna","Webwinkel-ID ontvangen door Klarna"
"Shared secret","Gedeeld geheim"
"The shared secret that you have received from Klarna","Gedeeld geheim ontvnagen door Klarna"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Kies de server om calls te comminuceren" 
"New order status","Nieuwe order status"
"Invoice fee","Factuurkosten"
"In website currency","Webshop valuta"
"Invoice fee label","Factuurkosten tekst"
"Minimum order amount","Minimum order bedrag"
"Cancel pending reservations","Annuleer pending orders"
"Automatically cancel orders when the reservation becomes pending","Annuleer een reservatie automatisch wanneer deze de pending status heeft"
"Send invoice via e-mail","Verstuur factuur per E-mail"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Indien op JA Zal Klarna de Factuur automatisch per E-mail versturen bij het activeren van de order."
"Allow separate addresses","Verschillende adressen toestaan"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Ander afleveradres toestaan (Let op alleen toegestaan na OK van Klarna. Neem contact met Klarna op en vraag naar de voorwaarden)."
"Language","Taal"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Landen toegestaan"
"Specific countries","Specifieke landen"
"Sort order","Positie"
"URL to special logotype","URL naar special logo type"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose another logotype for it","Speciale campagnes hebben verschillende logotypes afhankelijk per campagne. Kies hier het gewenste logotype."
"Klarna invoice fee","Klarna factuurkosten"
"Display Klarna invoice fee","Laat Klarna factuurkosten zien"
"Tax class for Klarna invoice fee","BTW Klarna factuurkosten"
"Klarna invoice fee prices","Klarna factuurkosten prijzen"
"Whether Klarna invoice fee set in admin includes tax","Zijn de Klarna factuurkosten INCL BTW ingevoerd in de admin"
"Update Pclasses","Update Pclasses"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Intalleer de laatste Payment classes (ookwel Pclasses genoemd)."

"Please enter your personal ID and try again","Vult u hier uw persoonsnummer in"
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","U dient een creditnota van de factuur te creeren, niet direct van de order, om Klarna te updaten met het credit bedrag/items."
"Unable to pay with Klarna, please choose another payment method","Helaas is het niet mogelijk om met Klarna te betalen. Kiets u alstublieft een andere betaalmethode."
"Fetching PClasses failed for store %s. (%s)","Het ophalen van de Pclasses is mislukt voor webwinkel: %s. (%s)"
"Unknown","Onbekend"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Onbekend adres,s pecificeer uw juiste BSN nummer in de betaalmethode en druk op verifeer adres opnieuw."
"You must choose a payment plan","U dient een betaalplan te selecteren."
"Unexpected error, pclass does not exist, please reload page and try again","Onverwachte error. Pclass bestaat niet. Laad uw pagina opnieuw en probeer het nogmaals."
"Phonenumber must be properly entered","Telefoon nummer dient juist ingevuld te worden."
"Date of birth fields must be properly entered","Vult u alstublieft uw juiste geboortedatum in."
"Personal ID must not be empty","BSN nummer mag niet leeg zijn."
"You need to agree to the terms to be able to continue","U dient akkoord te gaan met onze algemenevoorwaarden om verder te gaan."
"You need to enter your gender to be able to continue","U dient uw geslacht in te vullen."
"Klarna was not able to cancel the reservation","Het is Klarna niet gelukt de reservering te cancellen."
"Please enter a positive number in this field","Vult u alstublieft een positief nummer in in dit veld."
"No address found. Verify the personal id and try again","Geen adres gevonden. Verifeer uw BSN en probeer het opnieuw."
"Please note that both shipping and billing address will be updated to this address when you place your order","Let erop, dat zowel verzend en afleveradres geupdated zullen worden naar dit adres wanneer u de bestelling plaatst."
"Please note that shipping address will be updated to this address when you place your order","Let erop, dat verzendadres geupdated zal worden naar dit adres wanneer u de order plaatst."

"Invoice","Factuur"
"Refund","Retour"
"month","maand"
"Reservation","Reservering"
"Reservation Pending","Reservering Pending"
"Reservation Denied","Reservering Geweigerd"
"Country","Land"
"Description","Beschrijving"
"Months","Maanden"
"Minimum amount","Minimum bedrag"
"Address","Adres"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts– und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Geboorte datum"
"Gender","Geslacht"
"Male","Man"
"Female","Vrouw"
"Monthly cost","Maandelijkse kosten"
"Total cost","Totale kosten"
"Start fee","Start kosten"
"Personal ID/Registration number","BSN nummer"
"Fetch ","Halen"
"Identifying...","Identificeren..."
"Phone number","Telefoonnummer"
"Discount (%s)","Korting (%s)"

"Gift Wrapping for Order","Cadeau inpakken voor order"
"Gift Wrapping for Items","Cadeau inpakken voor Artikelen"
"Printed Card","Gedrukte kaart"
"Gift Card","Gift Card"
"Customer Balance","Klant saldo"
"Reward Currency","Reward Currency"

"YYMMDD-XXXX","YYMMDD-XXXX"
"URL to terms and conditions","URL naar de Algemene voorwaarden"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL naar de (AGB) algemene voorwaarden van uw webshop (alleen voor Duitsland en Oostenrijk)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Test Mode is actief, hierbij worden alleen Klarna specifieke test klanten toegestaan."
"Year","Jaar"
"Month","Maand"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Schakel de betalingswidget op de productpagina uit"
"If set to yes, the payment information from Klarna will not appear on the product page","Als de functie ingeschakeld is, zal de betalingsinformatie van Klarna niet zichtbaar zijn op de productpagina"

"Disable method for company purchase","Schakel de functie voor bedrijfsaankopen uit"
"Disable this method when company field is filled in during checkout","Schakel deze functie uit wanneer het veld voor bedrijfsgegevens ingevuld wordt in de checkout"
"Default Country Only","Land dat standaard ingesteld is"
"Multiple Countries Allowed","Meerdere landen toegestaan"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Gegevens die bekend zijn bij Klarna worden automatisch ingevuld"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","When activated, it will use the logged in customer details to prefill the Klarna Checkout form"
"Extra order ID attribute","Extra bestelling ID toevoegen"
"Will be used in the orderid2 field on the Klarna order","Zal gebruikt worden in de bestelling 2 veld op de Klarna bestelling"
"Newsletter","Nieuwsbrief"
"If checkbox for newsletter should be shown in checkout page.","De checkbox voor de nieuwsbrief moet worden weergegeven in de checkout pagina."
"Checked by default","Default gecontroleerd"
"A/B Testing settings","A/B test instellingen"
"Activate A/B Testing","Activate A/B Testing"
"Enable for IP range","Geactiveerd voor IP range"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses"
"Enable for logged in Customers","Geactiveerd voor ingelogde klanten"
"If not enabled, logged in customers will use standard Magento checkout","If not enabled, logged in customers will use standard Magento checkout"
"Enable for specific customer groups","Geactiveerd voor specifieke klantgroepen"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","Ich stimme den %s und der Anwendung meiner Daten in der Express Kasse zu."
"No","Nee"
"Yes - Subscribe to newsletter","Ja - Meld je aan voor de nieuwsbrief"
"Yes - Don't subscribe to newsletter","Ja - Meld je niet aan voor de nieuwsbrief"
"Subscribe to newsletter","Meld je aan voor de nieuwsbrief"
"Don't subscribe to newsletter","Meld je niet aan voor de nieuwsbrief"
"URL to this stores own terms and conditions","URL naar de (AGB) algemene voorwaarden van uw webshop"
"Refund amount","Bedrag van teruggave"
"Go to Klarna Checkout","Ga naar Klarna Checkout"
"Other Payment Methods","Andere betaalmogelijkheden"

"Country Default","Standaard land"
"Force entry of phonenumber","Gedwongen om een telefoonnummer in te voeren"
"Enable DHL Packstation","DHL levering geactiveerd"
"Enable cart in checkout page","Winkelwagen geactiveerd in de checkout pagina"
"Only available in Germany","Alleen beschikbaar in Duitsland"
"Enable Autofocus for Klarna Checkout","Autofocus geactiveerd voor Klarna Checkout"
"Support of other payment methods","Ondersteuning van andere betaalmethoden"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout"
"Label for Other Payment Methods button","Label voor op de knoppen van de andere betaalmethoden"
"Label for Back to Klarna Checkout button","Label voor op de knop: Terug naar Klarna Checkout"
"Other Payment Methods","Andere betaalmethoden"
"Go to Klarna Checkout","Ga naar Klarna Checkout"
"This can be free text or a complete URL to a reasonably sized image","TDit kan losse tekst zijn of een complete URL naar een medium grote afbeelding zijn"
"Reference","Referentie"
"Order Id","Andere ID"
"Capture ID","Capture ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Klarna Checkout reageert niet correct. Probeer het later nog eens of kies voor een andere betaalmethode."

"Please note that your official address will be used for shipping and billing address when you place your order","Please note that your official address will be used for shipping and billing address when you place your order"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Order Summary"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
"Technical problem occurred while using %s payment method. Please try again later.","Technical problem occurred while using %s payment method. Please try again later."

"Cart redirect","Cart redirect"
"Default is cart, custom redirect must not go to any checkout page","Default is cart, custom redirect must not go to any checkout page"
"Enable javascript trigger for address update","Enable javascript trigger for address update"
"Automatically register guests on checkout","Automatically register guests on checkout"
"If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests.","If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests."
"Only when https is activated in checkout","Only when https is activated in checkout"
"Automatically reactivate Klarna Checkout","Automatically reactivate Klarna Checkout"
"If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!","If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!"
"Only run Klarma Checkout if Explicitly called","Only run Klarma Checkout if Explicitly called"
"If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default","If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default"
"Enable A/B Testing","Enable A/B Testing"
"Specific for API V.3x (US and UK)","Specific for API V.3x (US and UK)"
"Show other allowed shipping countries","Show other allowed shipping countries"
"List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Include Shipping Options","Include Shipping Options"
"List of available shipping options that should appear in Klarna Checkout.","List of available shipping options that should appear in Klarna Checkout."
"Show Extended Error Message","Show Extended Error Message"
"""Yes"" - show error messages provided by Klarna. ""No"" - show default error message","""Yes"" - show error messages provided by Klarna. ""No"" - show default error message"
"Show extended error message in case if authorization was failed","Show extended error message in case if authorization was failed"
"Show advanced options","Show advanced options"
"Display advanced or seldomly used settings","Display advanced or seldomly used settings"
"Can be used if site is in a different language than the official language of current country","Can be used if site is in a different language than the official language of current country"

"Please note that the shipping address will be used for both shipping and billing address when you place your order","Please note that the shipping address will be used for both shipping and billing address when you place your order"
"Name and country must be the same for shipping and billing address!","Name and country must be the same for shipping and billing address!"
"Allow part capture when orders have discount","Allow part capture when orders have discount"
