"Klarna Invoice","Klarna Lasku"
"Klarna Account","Klarna Tili"
"Klarna Campaign","Klarna Kampanja"
"Enabled","Aktivoitu"
"Merchant ID","Kauppiastunnus"
"The merchant id that you have received from Klarna","Klarnalta saamasi kauppiastunnus."
"Shared secret","Jaettu salalause"
"The shared secret that you have received from Klarna","Klarnalta saamasi jaettu salalause."
"Title","Otsikko"
"Server","Palvelin"
"Choose what server to make calls to","Valitse käytettävä palvelin."
"New order status","Tilauksen uusi tila"
"Invoice fee","Laskutuslisä"
"In website currency","Verkkokaupan valuutassa"
"Invoice fee label","Laskutuslisän otsikko"
"Minimum order amount","Tilauksen vähimmäissumma"
"Cancel pending reservations","Peruuta pending-tilassa olevat tilaukset"
"Automatically cancel orders when the reservation becomes pending","Peruuta pending-tilassa tulleet tilaukset automaattisesti."
"Send invoice via e-mail","Lähetä lasku sähköpostitse"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Valitse, jos haluat Klarnan lähettävän laskut automaattisesti aktivoinnin yhteydessä."
"Allow separate addresses","Salli erilliset osoitteet"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Salli toimitus laskutusosoitteesta poikkeavaan osoitteeseen (huom. vaatii hyväksynnän Klarnalta)."
"Language","Kieli"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Sallitut maat"
"Specific countries","Valitut maat"
"Sort order","Lajittelujärjestys"
"URL to special logotype","Kampanjalogon URL"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose a logotype from Klarna","Erityiskampanjoilla on kampanjasta riippuvat logot. Voit vaihtaa käytettävää logoa tästä."
"Klarna invoice fee","Klarna Laskun maksutapalisä"
"Display Klarna invoice fee","Näytä Klarna Laskun maksutapalisä"
"Tax class for Klarna invoice fee","Maksutapalisän veroluokka"
"Klarna invoice fee prices","Maksutapalisien suuruudet"
"Whether Klarna invoice fee set in admin includes tax","Maksutapalisä sisältää verot"
"Update Pclasses","Päivitä pclassit (kampanjakoodit)"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Tämä asentaa aktiiviset kampanjakoodit (pclassit), joihin kuuluu sekä tili, tilikampanjat että erikoiskampanjat"

"Please enter your personal ID and try again","Anna henkilötunnuksesi ja yritä uudelleen."
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Palautusten ja hyvitysten kohdalla sinun tulee merkitä hyvitykset laskun tiedoista, ei tilauksen kohdalta."
"Unable to pay with Klarna, please choose another payment method","Valitettavasti Klarna ei voi hyväksyä ostoasi. Ole hyvä ja vaihda maksutapaa."
"Fetching PClasses failed for store %s. (%s)","Pclassien nouto epäonnistui kaupalle %s. (%s)"
"Unknown","Tunnistamaton"
