"Klarna Invoice","Klarna Faktura"
"Klarna Account","Klarna Konto"
"Klarna Campaign","Klarna Kampagne"
"Enabled","Aktiveret"
"Merchant ID","Butiks-ID"
"The merchant id that you have received from Klarna","Det butiks-ID du har fået af Klarna"
"Shared secret","Delt hemmelighed"
"The shared secret that you have received from Klarna","Den delte hemmelighed du har fået af Klarna"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Vælg hvilken server du ønsker at ringe til"
"New order status","Ny ordrestatus"
"Invoice fee","Fakturagebyr"
"In website currency","Hjemmesidens valuta"
"Invoice fee label","Navn på fakturagebyr"
"Minimum order amount","Mindste ordrebeløb"
"Cancel pending reservations","Avbryt reservationer i pending"
"Automatically cancel orders when the reservation becomes pending","Annuller ordrer automatisk, når reservationen begynder at versere"
"Send invoice via e-mail","Send fakturaen via e-mail"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Hvis ja, vil Klarna sende fakturaen ud via e-mail, når reservationen bliver aktiveret"
"Allow separate addresses","Tillad forskellige adresser"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Tillad en anden leveringsadresse end fakturaadressen. Dette skal godkendes af Klarna"
"Language","Sprog"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Tilladte lande"
"Specific countries","Specifikke lande"
"Sort order","Sorteringsordre"
"URL to special logotype","URL til kampagnelogo"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose a logotype from Klarna","Specialkampagner har forskellige logoer, alt afhængigt af kampagnen. Man kan anvende dette felt for at vælge logo via et link fra Klarna."
"Klarna invoice fee","Gebyr ved Klarna Faktura"
"Display Klarna invoice fee","Vis gebyr ved Klarna Faktura"
"Tax class for Klarna invoice fee","Skatteklasse for Klarnas fakturagebyr"
"Klarna invoice fee prices","Prisen på Klarnas fakturagebyr"
"Whether Klarna invoice fee set in admin includes tax","Hvis Klarnas fakturagebyr, som står i indstillingen, er inklusive moms."
"Update Pclasses","Opdater Pclasser"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Opdater de seneste pclasser. Dette vil opdatere både Klarna Konto og specialkampagner."

"Please enter your personal ID and try again","Udfyld venligst dit personnummer og forsøg igen"
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Du skal skabe kreditnotaen ud fra den originale faktura, ikke direkte ud fra ordren, så Klarna kan opdatere beløbet."
"Unable to pay with Klarna, please choose another payment method","Kan ikke vælge Klarna. Vælg venligst en anden betalingsmåde."
"Fetching PClasses failed for store %s. (%s)","Downloadning af pclasser til butik %s mislykkedes. (%s)"
"Unknown","Ukendt"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Ukendt adresse, udfyld dit personnummer igen og tryk på "Hent", eller vælg en anden betalingsmåde."
"You must choose a payment plan","Du bedes vælge en anden betalingsmåde"
"Unexpected error, pclass does not exist, please reload page and try again","Uforudset fejl, pclass eksisterer ikke. Genindlæs siden og prøv igen."
"Phonenumber must be properly entered","Telefonnummeret skal udfyldes korrekt."
"Date of birth fields must be properly entered","Fødselsdag skal udfyldes korrekt."
"Personal ID must not be empty","Personnummer skal udfyldes."
"You need to agree to the terms to be able to continue","Du skal godkende vilkårene, før du kan fortsætte."
"You need to enter your gender to be able to continue","Du skal vælge køn, før du kan fortsætte."
"Klarna was not able to cancel the reservation","Klarna var ikke i stand til at annullere reservationen."
"Please enter a positive number in this field","Beløbet skal være positivt."
"No address found. Verify the personal id and try again","Adresse blev ikke fundet. Kontroller personnummeret og forsøg igen."
"Please note that both shipping and billing address will be updated to this address when you place your order","Bemærk venligst, at både leverings- og fakturaadresse bliver opdateret til denne adresse, når du lægger ordren."
"Please note that shipping address will be updated to this address when you place your order","Bemærk venligst, at leveringsadressen bliver opdateret til denne adresse, når du lægger ordren."

"Invoice","Faktura"
"Refund","Tilbagebetale"
"month","måned"
"Reservation","Reservation"
"Reservation Pending","Reservationen er ikke klar"
"Reservation Denied","Reservationen nekades"
"Country","Land"
"Description","Beskrivelse"
"Months","Måneder"
"Minimum amount","Minimumsbeløb"
"Address","Adresse"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts– und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Fødselsdag"
"Gender","Køn"
"Male","Mand"
"Female","Kvinde"
"Monthly cost","Månedlig omkostning"
"Total cost","Total omkostning"
"Start fee","Oprettelsesgebyr"
"Personal ID/Registration number","Personnummer/Firmanummer"
"Fetch ","Hent"
"Identifying...","Indentificerer..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabat (%s)"

"Gift Wrapping for Order","Gift Wrapping for Order"
"Gift Wrapping for Items","Gift Wrapping for Items"
"Printed Card","Printed Card"
"Gift Card","Gavekort"
"Customer Balance","Customer balance"
"Reward Currency","Reward Currency"

"YYMMDD-XXXX","DDMMÅÅXXXX"
"URL to terms and conditions","URL til regler og vilkår"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL til denne butiks egne regler og vilkår (anvendes kun i Tyskland og Østrig)."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testtilstand er nu aktivt. Der tillades i øjeblikket kun adgang for udvalgte Klarna test kunder."
"Year","År
"Month","Måned"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Deaktiver betalingsapplikation på produktsiden"
"If set to yes, the payment information from Klarna will not appear on the product page","Hvis indstillingen er sat til “ja”, vises betalingsinformationen fra Klarna ikke på produktsiden"

"Disable method for company purchase","Deaktiver metode for firmakøb"
"Disable this method when company field is filled in during checkout","Deaktiver denne metode, når firmafeltet udfyldes ved check-out"
"Default Country Only","Kun det land valgt som standard"
"Multiple Countries Allowed","Flere lande tilladt"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Udfyld automatisk de oplysninger, som Klarna har"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","Ved aktivering benyttes de indtastede kundeoplysninger til at udfylde resten automatisk i Klarna Checkout-formularen."
"Extra order ID attribute","Ekstra attribut i ordre-ID"
"Will be used in the orderid2 field on the Klarna order","Vil blive brugt i feltet ”ordreid2” på ordren med Klarna"
"Newsletter","Nyhedsbrev"
"If checkbox for newsletter should be shown in checkout page.","Hvis afkrydsningsboksen til nyhedsbrev skal vises i kassen"
"Checked by default","Markeret som standardindstilling"
"A/B Testing settings","A/B testindstillinger"
"Activate A/B Testing","Activate A/B Testing"
"Enable for IP range","Aktiver for IP-rækkevidde"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Specificer to cifre mellem 0 og 255, adskilt med bindestreg. Eksempel: ”0-50”. En tom værdi aktiverer alle IP-adresser"
"Enable for logged in Customers","Aktiver for kunder som er logget ind"
"If not enabled, logged in customers will use standard Magento checkout","Hvis det ikke er aktiveret, benytter kunder, som er logget ind, standardkassen Magento"
"Enable for specific customer groups","Aktiver for specifikke kundegrupper"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Hvis du ikke tilhører en valgt kundegruppe, vil standardkassen Magento blive benyttet. ”Ingen valgt” betyder, at det er aktiveret for alle"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","For en simpel kasseløsning giver jeg samtykke til at bruge de data, der er gemt i min konto med den nye Klarna Checkout, ifølge %s"
"No","Nej"
"Yes - Subscribe to newsletter","Ja – tilmeld nyhedsbrev"
"Yes - Don't subscribe to newsletter","Ja – tilmeld ikke nyhedsbrev"
"Subscribe to newsletter","Tilmeld nyhedsbrev"
"Don't subscribe to newsletter","Tilmeld ikke nyhedsbrev"
"URL to this stores own terms and conditions","Link til denne butiks egne vilkår og betingelser"
"Refund amount","Refunder beløb"
"Go to Klarna Checkout","Gå til Klarna Checkout"
"Other Payment Methods","Andre betalingsmetoder"

"Country Default","Land som standard"
"Force entry of phonenumber","Gør indtastning af telefonnummer obligatorisk"
"Enable DHL Packstation","Aktiver DHL Pakkestation"
"Enable cart in checkout page","Aktiver indkøbskurv ved kassen"
"Only available in Germany","Kun tilgængeligt i Tyskland"
"Enable Autofocus for Klarna Checkout","Aktiver autofokus for Klarna Checkout"
"Support of other payment methods","Understøttelse af andre betalingsmetoder"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Ved aktivering placeres en knap på siden med Klarna Checkout og en i betalingssektionen med standardkassen."
