"Klarna Invoice","Klarna Faktura"
"Klarna Account","Klarna Konto"
"Klarna Campaign","Klarna Kampanje"
"Enabled","Aktivert"
"Merchant ID","Butikk-ID"
"The merchant id that you have received from Klarna","Butikk-IDen du fått fra Klarna"
"Shared secret","Delt hemmelighet"
"The shared secret that you have received from Klarna","Den delte hemmeligheten du fått fra Klarna"
"Title","Tittel"
"Server","Server"
"Choose what server to make calls to","Velg hvilken server du kobler til"
"New order status","Ny ordre status"
"Invoice fee","Fakturagebyr"
"In website currency","I nettbutikkens valuta"
"Invoice fee label","Navn på fakturagebyr"
"Minimum order amount","Minste ordrebeløp"
"Cancel pending reservations","Kanseller ventende reservasjoner"
"Automatically cancel orders when the reservation becomes pending","Automatisk kanseller ordrer hvis reservasjonen(e) blir ventende"
"Send invoice via e-mail","Send fakturaen via e-post"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Hvis satt til ja, vil Klarna sende ut fakturaen via e-post når reservasjonen aktiveres."
"Allow separate addresses","Tillat ulike adresser"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Tillat annen leveranseadresse enn fakturaadressen. Du trenger godkjennelse fra Klarna."
"Language","Språk"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Tillatte land"
"Specific countries","Spesifikke land"
"Sort order","Sorteringsrekkefølge"
"URL to special logotype","URL til kampanjelogo"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose another logotype for it","Spesialkampanjer har forskjellige logoer avhengig av kampanje. Dette felt kan brukes for å velge riktig logo."
"Klarna invoice fee","Gebyr for Klarna Faktura"
"Display Klarna invoice fee","Vis gebyr for Klarna Faktura"
"Tax class for Klarna invoice fee","Mva-klasse for Klarna fakturagebyr"
"Klarna invoice fee prices","Priser for Klarna fakturagebyr"
"Whether Klarna invoice fee set in admin includes tax","Hvis oppgitt Klarna fakturagebyr er inkludert mva"
"Update Pclasses","Oppdater Pclasser"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Oppdaterer de seneste pclassene. Oppdaterer både Klarna Konto og Spesialkampanjer."

"Please enter your personal ID and try again","Vennligst fyll ut fødselsnummeret ditt och prøv på nytt."
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Kredittfakturaen må lages fra originalfakturaen, ikke fra ordren, for at Klarna skal oppdatere kreditert beløp."
"Unable to pay with Klarna, please choose another payment method","Kan ikke betale med Klarna, vennligst velg en annen betalingsmetode."
"Fetching PClasses failed for store %s. (%s)","Henting av pclasser mislyktes for butikk %s. (%s)"
"Unknown","Ukjent"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Ukjent adresse, vennligst tast inn riktig fødselsnummer og prøv på nytt eller velg en annen betalingsmetode."
"You must choose a payment plan","Du må velge en betalingsmetode."
"Unexpected error, pclass does not exist, please reload page and try again","Ukjent feil, pclassen finnes ikke, vennligst last siden på nytt og prøv igen."
"Phonenumber must be properly entered","Telefonnummeret må tastes inn riktig."
"Date of birth fields must be properly entered","Fødselsdato må tastes inn riktig."
"Personal ID must not be empty","Fødselsnummer kan ikke være tomt."
"You need to agree to the terms to be able to continue","Du må godkjenne vilkårene før du kan gå videre."
"You need to enter your gender to be able to continue","Du må velge kjønn før du kan gå videre."
"Klarna was not able to cancel the reservation","Klarna kunne ikke kansellere reservasjonen."
"Please enter a positive number in this field","Beløpet må være positivt."
